,Modelflow,Obsflow,Error,NWM_min,NWM_max,ML_1min,ML_1max
135,87.01937305,95.99411133,33.49649072,49.53999889,272.5099939,53.52288234,120.5158638
136,62.15499861,95.99411133,25.74886218,47.05999895,140.3199969,36.40613643,87.90386079
137,67.0081235,108.453524,27.366767,44.779999,155.6599965,39.6413565,94.37489051
138,44.96499899,130.2574962,19.61715408,38.65999914,60.79999864,25.34784492,64.58215307
139,58.60749869,146.6812675,24.56033051,37.83999915,144.2599968,34.04716818,83.1678292
140,127.3187472,169.3347451,61.67231381,36.17999919,457.1199898,65.64643334,188.991061
141,49.71499889,186.8911902,21.38202697,33.78999924,109.0199976,28.33297192,71.09702586
142,94.0699979,172.1664298,36.03650346,34.81999922,285.7799936,58.03349443,130.1065014
143,88.41499802,158.2911747,33.90559673,33.75999925,302.1599932,54.50940129,122.3205948
144,101.0374977,149.5129522,38.66225615,57.80999871,331.5999926,62.37524159,139.6997539
145,77.84687326,98.82579603,30.80649734,45.21999899,126.8999972,47.04037592,108.6533706
146,79.07124823,91.74658428,31.17998034,49.94999888,149.3099967,47.8912679,110.2512286
147,55.89624875,127.142643,23.62117365,40.1099991,80.89999819,32.2750751,79.5174224
148,97.08999783,124.8772953,37.17450351,43.94999902,499.5999888,59.91549432,134.2645013
149,46.70749896,138.7525503,20.2643986,45.25999899,49.52999889,26.44310035,66.97189756
150,52.04624884,127.70898,22.24663906,45.50999898,67.70999849,29.79960978,74.29288789
151,55.08874877,82.68519324,23.33717316,45.96999897,93.37999791,31.7515756,78.42592193
152,69.63687344,142.1505719,28.21959957,44.719999,189.1299958,41.41727387,97.85647302
153,114.1899974,136.4872025,47.20600456,45.43999898,582.449987,66.98399289,161.396002
154,51.40062385,131.956507,22.00724103,42.22999906,74.94999832,29.39338283,73.40786488
155,118.6649973,68.24360127,52.05732852,115.3299974,123.8099972,66.60766883,170.7223259
156,125.3112472,93.72876357,59.52238232,112.9599975,132.919997,65.78886488,184.8336295
157,135.834372,92.59608969,70.76951444,123.4399972,171.2499962,65.06485752,206.6038864
158,127.7756221,91.74658428,62.11615175,118.9499973,182.1199959,65.65947039,189.8917739
159,117.6693724,85.80004641,50.97040504,115.7399974,120.1699973,66.69896733,168.6397774
160,112.4206225,84.38420406,45.30147225,110.0799975,116.0499974,67.11915024,157.7220947
161,106.9081226,61.73072646,40.83848163,105.0999977,109.0899976,66.06964098,147.7466042
