,Modelflow,Obsflow,Error,NWM_min,NWM_max,ML_1min,ML_1max
161,106.9081226,61.73072646,54.27569568,105.0999977,109.0899976,52.63242693,161.1838183
162,106.6812476,59.74854717,54.12705511,104.2299977,109.0899976,52.55419251,160.8083027
163,100.5043728,86.64955182,50.05092412,98.4499978,102.8599977,50.45344863,150.5552969
164,97.68624782,85.80004641,48.02297935,95.77999786,99.65999777,49.66326847,145.7092272
165,93.06874792,86.08321488,44.52220082,90.97999797,98.86999779,48.5465471,137.5909487
166,89.11249801,102.7901546,41.50884822,87.53999804,90.64999797,47.60364979,130.6213462
167,86.12562307,98.25945909,39.2278409,84.7899981,87.92999803,46.89778217,125.353464
168,83.23374814,72.20795985,37.05462456,82.10999816,84.26999812,46.17912358,120.2883727
169,82.66374815,72.20795985,36.63758785,81.45999818,84.00999812,46.02616031,119.301336
170,83.47124813,95.71094286,37.22839728,82.00999817,85.0599981,46.24285085,120.6996454
171,80.04624821,93.16242663,34.72252011,78.94999824,81.42999818,45.3237281,114.7687683
172,85.32124809,97.97629062,38.61284867,80.88999819,97.20999783,46.70839942,123.9340968
173,150.8749966,130.5406647,84.06493902,79.84999822,439.8799902,66.81005761,234.9399356
174,207.7056204,116.3822412,143.0359632,77.60999827,437.8799902,64.66965718,350.7415835
175,106.8437476,102.5069861,54.23352316,85.98999808,296.3699934,52.61022445,161.0772708
176,89.484373,132.522844,41.79151893,87.81999804,91.14999796,47.69285407,131.2758919
177,83.63062313,146.398099,37.34498948,81.85999817,85.85999808,46.28563365,120.9756126
178,80.11249821,126.2931376,34.7709851,78.73999824,81.44999818,45.34151311,114.8834833
179,79.79624822,116.0990727,34.53958973,76.32999829,87.35999805,45.25665848,114.3358379
180,82.80999815,66.54459045,36.74461111,80.23999821,85.0799981,46.06538703,119.5546093
181,83.38624814,62.58023187,37.16621637,81.96999817,90.26999798,46.22003176,120.5524645
182,95.02437288,85.23370947,46.00497365,86.13999807,119.2899973,49.01939923,141.0293465
183,94.68312288,92.59608969,45.74624583,91.44999796,100.5499978,48.93687705,140.4293687
184,98.17124781,92.02975275,48.382743,89.419998,105.9099976,49.7885048,146.5539908
185,96.38374785,106.4713447,47.03566253,92.20999794,109.8399975,49.34808531,143.4194104
186,89.10687301,75.32281302,41.50457442,87.17999805,91.32999796,47.60229859,130.6114474
187,84.71687311,73.6238022,38.15076396,83.14999814,86.22999807,46.56610915,122.8676371
188,81.48374818,98.54262756,35.77426612,80.08999821,83.39999814,45.70948205,117.2580143
189,79.71249822,105.3386708,34.47831705,76.95999828,101.7899977,45.23418117,114.1908153
190,78.76374824,91.74658428,33.78415838,74.47999834,118.8699973,44.97958986,112.5479066
191,75.25312332,88.91489958,31.20969474,73.15999836,81.05999819,44.04342857,106.4628181
192,84.45937311,86.08321488,37.95390517,76.42999829,140.5099969,46.50546795,122.4132783
193,79.05374823,52.66933542,33.99633363,75.8799983,87.51999804,45.0574146,113.0500819
194,93.9374979,50.40398766,45.18092155,84.56999811,137.2899969,48.75657635,139.1184195
195,83.47749813,79.57034007,37.23297268,80.10999821,92.40999793,46.24452545,120.7104708
196,83.35374814,81.83568783,37.14243799,78.84999824,100.5299978,46.21131014,120.4961861
197,95.93437286,83.81786712,46.69495791,92.70999793,101.5399977,49.23941494,142.6293308
198,89.506873,86.08321488,41.80861413,86.01999808,97.73999782,47.69825886,131.3154871
199,82.36062316,82.96836171,36.41580939,72.24999839,96.18999785,45.94481377,118.7764326
200,73.93249835,51.53666154,30.22164106,70.95999841,78.64999824,43.71085728,104.1541394
201,69.83312344,78.72083466,27.1177572,68.62999847,71.10999841,42.71536624,96.95088064
202,71.7149984,79.00400313,28.55237693,69.25999845,88.77999802,43.16262147,100.2673753
203,64.77249855,80.98618242,23.25136468,63.49999858,70.49999842,41.52113387,88.02386323
204,141.1418718,83.81786712,74.63501245,63.97999857,176.979996,66.5068594,215.7768843
205,157.2962465,50.40398766,90.90623021,146.8099967,175.4899961,66.39001627,248.2024767
206,149.1293717,48.42180837,82.31123388,140.6499969,168.9299962,66.81813779,231.4406055
207,181.053746,74.19013914,115.0259238,143.1399968,298.3799933,66.0278221,296.0796698
208,173.2174961,77.87132925,107.6553804,137.1199969,265.0299941,65.56211576,280.8728765
209,133.172497,77.30499231,69.21511173,129.6899971,142.4899968,63.95738529,202.3876088
210,125.3481222,73.34063373,66.48052961,123.1399972,127.1899972,58.86759259,191.8286518
211,117.3068724,73.05746526,61.00073397,71.20999841,138.1899969,56.30613841,178.3076063
212,83.55312313,47.28913449,37.28831619,71.03999841,114.1599974,46.26480694,120.8414393
213,87.44187305,40.77625968,40.23423046,71.12999841,108.0599976,47.20764259,127.6761035
214,97.48624782,63.99607422,47.87141532,95.08999787,99.95999777,49.6148325,145.3576631
215,91.11937296,67.39409586,43.04416448,88.86999801,93.43999791,48.07520848,134.1635374
216,72.03187339,39.6435858,28.79381418,70.58999842,73.42999836,43.23805921,100.8256876
217,68.24062347,39.07724886,25.90375751,66.87999851,69.63999844,42.33686596,94.14438099
218,65.09437355,66.26142198,23.49827871,63.48999858,67.0599985,41.59609484,88.59265225
219,62.29749861,75.60598149,21.25637993,61.01999864,65.31999854,41.04111868,83.55387854
220,60.04624866,68.52676974,19.31462064,58.74999869,63.08999859,40.73162801,79.3608693
221,57.13562372,66.26142198,16.76299803,56.07999875,58.2599987,40.37262569,73.89862175
222,71.3974984,65.1287481,28.31033476,58.59999869,78.77999824,43.08716365,99.70783316
223,76.2168733,35.11289028,31.92077383,64.89999855,135.319997,44.29609946,108.1376471
224,61.05374864,32.84754252,20.19968495,58.87999868,63.57999858,40.85406369,81.25343358
225,58.67999869,55.50102012,18.1146796,57.17999872,63.06999859,40.56531908,76.79467829
226,56.89499873,49.83765072,16.55273691,55.11999877,59.02999868,40.34226182,73.44773564
227,54.25249879,55.50102012,14.24403299,52.67999882,58.3199987,40.0084658,68.49653177
228,52.56187383,60.31488411,12.76967153,51.55999885,54.91999877,39.7922023,65.33154535
229,63.51999858,56.35052553,22.2580947,50.68999887,74.03999835,41.26190388,85.77809328
230,51.82562384,33.13071099,12.11548336,49.48999889,71.90999839,39.71014048,63.9411072
231,60.57687365,37.09506957,19.7807838,47.35999894,77.77999826,40.79608984,80.35765745
232,47.72937393,55.50102012,9.801802188,45.42999898,61.00999864,37.92757175,57.53117612
233,44.691249,56.35052553,8.687947243,43.80999902,49.44999889,36.00330176,53.37919624
234,43.19499903,50.9703246,8.128833175,42.43999905,44.719999,35.06616586,51.32383221
235,42.10062406,50.40398766,7.711135,41.86999906,42.57999905,34.38948906,49.81175906
236,41.44437407,49.27131378,7.465514764,41.04999908,41.83999906,33.97885931,48.90988884
237,40.64249909,30.01585782,7.149481326,40.2999991,40.93999908,33.49301777,47.79198042
